AUC,MRR,NDCG@5,NDCG@10
0.8106,0.6431,0.6971,0.7209
0.8106,0.606,0.6755,0.6976
0.8103,0.6082,0.6748,0.697
0.8102,0.6414,0.6955,0.7195
0.8095,0.606,0.6721,0.6948
0.8094,0.6406,0.6946,0.7188
0.809,0.6393,0.6934,0.7178
0.8087,0.6048,0.6697,0.6939
0.8087,0.6048,0.6697,0.6939
0.8087,0.6048,0.6697,0.6939
0.8082,0.6099,0.6724,0.6966
0.808,0.6081,0.674,0.6972
0.808,0.6087,0.673,0.6967
0.8078,0.6085,0.6727,0.6978
0.8076,0.6027,0.6658,0.6929
0.8058,0.5998,0.6667,0.6899
0.804,0.6324,0.6856,0.711
0.8037,0.6307,0.684,0.7098
0.8036,0.5978,0.665,0.6885
0.8034,0.6016,0.6694,0.691
0.8025,0.596,0.6635,0.687
0.8024,0.5924,0.66,0.6871
0.802,0.5886,0.6576,0.6833
0.8017,0.5983,0.6619,0.6877
0.8015,0.619,0.6808,0.7045
0.8008,0.592,0.6613,0.686
0.8,0.6024,0.6638,0.6899
0.7997,0.6025,0.6645,0.69
0.7997,0.6025,0.6645,0.69
0.7995,0.5915,0.6547,0.6835
0.7992,0.584,0.6529,0.6796
0.7988,0.5884,0.6563,0.684
0.7986,0.5984,0.6641,0.6881
0.7986,0.5735,0.6449,0.6727
0.797,0.5907,0.6545,0.6831
0.7967,0.5972,0.6632,0.6868
0.795,0.5946,0.6606,0.6847
0.7936,0.5748,0.6463,0.6716
0.7926,0.588,0.6512,0.6786
0.7926,0.588,0.6512,0.6786
0.7926,0.588,0.6512,0.6786
0.7916,0.6067,0.6657,0.6925
0.7915,0.579,0.6464,0.6735
0.7904,0.5836,0.6462,0.6765
0.7901,0.5818,0.6475,0.6767
0.7894,0.5855,0.6464,0.6758
0.7885,0.5672,0.6346,0.665
0.7879,0.5665,0.6338,0.6644
0.7878,0.5837,0.6509,0.6761
0.7875,0.5748,0.64,0.6703
0.7857,0.5688,0.6367,0.6673
0.785,0.5674,0.6324,0.6639
0.7846,0.5739,0.6373,0.6692
0.7841,0.5891,0.6556,0.6813
0.7834,0.5661,0.6336,0.6649
0.7832,0.5749,0.644,0.6693
0.7831,0.557,0.6301,0.6598
0.783,0.5662,0.634,0.6648
0.7808,0.5569,0.6228,0.6555
0.7797,0.5836,0.6508,0.6772
0.7793,0.555,0.6209,0.6538
0.7791,0.5599,0.6281,0.66
0.7786,0.5616,0.6271,0.6598
0.7778,0.5605,0.6277,0.658
0.7777,0.5604,0.627,0.6596
0.7764,0.5427,0.6146,0.6478
0.7761,0.5591,0.6264,0.6566
0.7752,0.5589,0.6225,0.6561
0.7752,0.5536,0.6203,0.6552
0.7739,0.5549,0.6194,0.6539
0.7736,0.5475,0.6133,0.6479
0.7736,0.5475,0.6133,0.6479
0.7734,0.5512,0.6169,0.6511
0.7728,0.5515,0.6204,0.6533
0.7725,0.5521,0.6157,0.6509
0.772,0.5547,0.621,0.6543
0.7716,0.5509,0.6181,0.6523
0.7714,0.5641,0.6252,0.6578
0.7713,0.5535,0.6195,0.6531
0.7713,0.5535,0.6195,0.6531
0.7713,0.5457,0.6129,0.6482
0.7712,0.5692,0.6347,0.6622
0.7705,0.5469,0.6114,0.6476
0.7702,0.5443,0.6102,0.6451
0.7701,0.5486,0.6168,0.6498
0.7701,0.5443,0.6099,0.645
0.769,0.5565,0.6207,0.6535
0.7688,0.5424,0.6089,0.6439
0.7687,0.5417,0.608,0.6433
0.7686,0.5468,0.6135,0.6488
0.7686,0.5468,0.6158,0.6496
0.7685,0.5424,0.6083,0.6436
0.7685,0.5445,0.6124,0.644
0.768,0.5401,0.6063,0.6419
0.7675,0.5394,0.6064,0.6418
0.7669,0.5342,0.6013,0.638
0.7652,0.5554,0.6169,0.6509
0.7652,0.5486,0.615,0.6471
0.7651,0.5403,0.6068,0.6403
0.7651,0.5392,0.6046,0.6407
0.7638,0.5426,0.6103,0.646
0.7635,0.5513,0.6135,0.6477
0.7632,0.5448,0.6115,0.644
0.7627,0.5422,0.6055,0.6412
0.7625,0.542,0.605,0.6409
0.7623,0.5427,0.6084,0.6425
0.7618,0.546,0.6082,0.6436
0.7609,0.537,0.6014,0.6383
0.7608,0.5361,0.602,0.6372
0.7594,0.5302,0.5997,0.6328
0.7589,0.5427,0.6046,0.6408
0.7579,0.5435,0.6086,0.6431
0.7578,0.5406,0.606,0.641
0.7572,0.5318,0.5997,0.6371
0.7571,0.5401,0.606,0.6407
0.7561,0.5306,0.5962,0.6325
0.755,0.517,0.5845,0.6246
0.7548,0.5233,0.5927,0.6271
0.7548,0.5282,0.5953,0.6313
0.7546,0.5259,0.5936,0.6296
0.7541,0.5281,0.5947,0.6308
0.754,0.5294,0.5959,0.6345
0.7532,0.5298,0.5907,0.6291
0.7528,0.5312,0.5974,0.6336
0.7527,0.5387,0.5999,0.6365
0.7526,0.5355,0.5964,0.634
0.7516,0.52,0.5868,0.6249
0.7507,0.5294,0.5911,0.6294
0.7507,0.518,0.585,0.6232
0.7504,0.5301,0.5945,0.6302
0.7504,0.5209,0.5878,0.6276
0.75,0.5398,0.6051,0.6378
